0	116		0	62.4		0	348
1	110		1	62.2		2	304
2	104		2	61.3		4	240
3	96		3	59.2		6	164
4	82		4	50.4		8	96
5	66		5	36.8		10	62
6	52		6	26.4		12	44
7	38		7	15.4		14	35
8	28		8	12.8		16	30
9	20.4		9	10		18	28.8
10	14.4		10	8.6		20	24.8
11	12		11	8.2		22	17.4
12	10.4		12	7.6		24	11.2
13	8		13	6.4		26	5.6
14	4.8		14	5.2		28	3.2
15	1.8		15	3.8		30	4
16	0.2		16	2.2		32	4.8
17	1.5		17	1.8		34	8.8
18	6		18	0.8		36	10.4
19	12.5		19	0.2		38	11.2
20	19.4		20	0.2		40	10.4
21	23.2		21	0		42	9.6
22	25.6		22	0.2		44	4.8
23	25.8		23	0.4		46	1.6
24	26		24	0.6		48	0.24
25	27.4		25	0.4		50	0
26	31		26	0.6		52	0
27	33.4		27	2.2		54	0.2
28	32.2		28	3.8		56	0.2
29	27.2		29	4.2		58	0.8
30	24.2		30	3.8		60	2.6
31	20.2		31	7.2		62	3.6
32	18.4		32	11.4		64	3.8
33	16.6		33	13.8		66	5.4
34	15.8		34	15.4		68	10
35	15.2		35	17.6		70	12.6
36	14.8		36	21.8		72	9.6
37	13.8		37	25.6		74	6.2
38	10.2		38	31.8		76	13.8
39	6.2		39	41.2		78	30.6
40	2.4		40	53.6		80	75.2
41	0.4		41	49.6		82	106
42	0.2		42	48.3		84	124
43	0		43	45.2		86	127
44	0.4		44	37.6		88	114
45	1.8		45	34		90	84.8
46	2.2		46	28		92	57.6
47	2.4		47	22.4		94	28.8
48	3.2		48	16.8		96	10.4
49	0.6		49	14		98	5.6
50	0		50	10.8		100	3.2
51	0.2		51	8		102	2.2
52	0.4		52	6.8		104	0.5
53	0.4		53	4.8		106	0.2
54	0.4		54	4.2		108	0.5
55	0.2		55	3.8		110	2.4
56	0		56	1.2		112	4.6
57	0.2		57	0.6		114	5.3
58	0.6		58	0.6		116	3.5
59	2.4		59	0.2		118	2
60	4.2		60	0.2		120	0.6
61	7.4		61	0		122	0.4
62	11.6		62	0.2		124	0.4
63	21.6		63	0.6		126	0.2
64	29.2		64	0.8		128	0.4
65	41.8		65	0.4		130	1.8
66	48		66	0.2		132	2.4
67	51		67	0		134	3.4
68	51.6		68	0		136	6.4
69	46.6		69	0.2		138	4.6
70	44		70	0		140	4.2
71	43.2		71	0		142	0.6
72	38.4		72	0		144	0.6
73	33.6		73	0		146	0.8
74	28.8		74	0		148	5.8
75	28		75	0		150	11.6
